Rank,State,FIPS Code,Population
1,California,06000,"39,029,342"
2,Texas,48000,"30,029,572"
3,Florida,12000,"22,244,823"
4,New York,36000,"19,677,151"
5,Pennsylvania,42000,"12,972,008"
6,Illinois,17000,"12,582,032"
7,Ohio,39000,"11,756,058"
8,Georgia,13000,"10,912,876"
9,North Carolina,37000,"10,698,973"
10,Michigan,26000,"10,034,113"
11,New Jersey,34000,"9,261,699"
12,Virginia,51000,"8,683,619"
13,Washington,53000,"7,785,786"
14,Arizona,04000,"7,359,197"
15,Tennessee,47000,"7,051,339"
16,Massachusetts,25000,"6,981,974"
17,Indiana,18000,"6,833,037"
18,Missouri,29000,"6,177,957"
19,Maryland,24000,"6,164,660"
20,Wisconsin,55000,"5,892,539"
21,Colorado,08000,"5,839,926"
22,Minnesota,27000,"5,717,184"
23,South Carolina,45000,"5,282,634"
24,Alabama,01000,"5,074,296"
25,Louisiana,22000,"4,590,241"
26,Kentucky,21000,"4,512,310"
27,Oregon,41000,"4,240,137"
28,Oklahoma,40000,"4,019,800"
29,Connecticut,09000,"3,626,205"
30,Utah,49000,"3,380,800"
31,Iowa,19000,"3,200,517"
32,Nevada,32000,"3,177,772"
33,Arkansas,05000,"3,045,637"
34,Mississippi,28000,"2,940,057"
35,Kansas,20000,"2,937,150"
36,New Mexico,35000,"2,113,344"
37,Nebraska,31000,"1,967,923"
38,Idaho,16000,"1,939,033"
39,West Virginia,54000,"1,775,156"
40,Hawaii,15000,"1,440,196"
41,New Hampshire,33000,"1,395,231"
42,Maine,23000,"1,385,340"
43,Montana,30000,"1,122,867"
44,Rhode Island,44000,"1,093,734"
45,Delaware,10000,"1,018,396"
46,South Dakota,46000,"909,824"
47,North Dakota,38000,"779,261"
48,Alaska,02000,"733,583"
49,District of Columbia,11000,"671,803"
50,Vermont,50000,"647,064"
51,Wyoming,56000,"581,381"
